Iout_exp,Iin_fit,e_delta1,e_delta2,e_delta1_delta2,e_delta1plusdelta2,N_RC2,C_RC2,S_RC2
7814.356369,17022.19868,-1.14555838582553+0.174337791692319i,0.86997588242055-0.193421976266933i,-1.14799065093769+0.341353061228585i,-0.962887407365684+0.373245841082308i,-0.179402248,-0.081301542,0.980410574
7418.460852,16215.54326,-0.613496578232617+0.964780353564692i,0.787754855015518-0.430316240753542i,-0.771178236791905+0.883161402414164i,-0.0681242531393207+1.0240079488044i,-0.174772033,-0.081688764,0.981214392
4935.839214,16685.74947,0.320330452452613+1.08065090234941i,0.642409745860618-0.636894941988763i,-0.178181340449931+1.1342052951551i,0.894044498313431+0.490203826610289i,-0.170107799,-0.082097359,0.981999674
1893.473667,15895.25322,1.01055296720006+0.460091283951326i,0.444081372626969-0.79656302859999i,0.442519709401152+1.0343615372815i,0.815259455363186-0.600651163202777i,-0.165409227,-0.082527514,0.982765993
1381.69452,15627.22094,0.994335999301749-0.45436094790025i,0.20730297883726-0.89589903693789i,0.905713872998013+0.630625396733322i,-0.200932721025644-0.985015042134155i,-0.160708567,-0.082950803,0.98351
4824.015594,16085.1057,0.303689171283382-1.03220865758421i,-0.0499608608826122-0.925859955000557i,1.08273926747565+0.0557573800599297i,-0.970853233700149-0.229603609315196i,-0.156008087,-0.08336423,0.98423162
8838.911149,16657.65922,-0.571197726310231-0.891483002537171i,-0.307625647611528-0.882691802358254i,0.934203919219996-0.515271553944088i,-0.611189667810866+0.778434586529881i,-0.151272076,-0.083798743,0.984933769
9890.990605,16246.0522,-1.03094528796554-0.150829971034143i,-0.545053354887281-0.768438360354306i,0.515550039669018-0.916897361566396i,0.446016652277086+0.874428288428947i,-0.14650021,-0.084254516,0.985615983
8634.018997,15695.14508,-0.777780928218767+0.668523468476867i,-0.742744701043787-0.5909738325408i,-0.0433324888219136-1.0383741215036i,0.97277253931665-0.0368940877080207i,-0.141692166,-0.084731721,0.986277783
5620.076954,16573.35051,-0.0061117145402423+1.01001701424237i,-0.884006765522337-0.363528970810177i,-0.577096927987797-0.851942506074371i,0.372573242690812-0.890640088586227i,-0.136825346,-0.085251128,0.986919992
5007.348424,16461.40101,0.746581193286756+0.658344245003336i,-0.956439394527158-0.103729670327658i,-0.931584152461022-0.417819813216725i,-0.645769832976241-0.707108992133894i,-0.131876776,-0.085834737,0.987542867
6200.655085,16536.00849,0.973417473382919-0.128173558359911i,-0.953094459277431+0.167783268538972i,-1.00618399200839+0.134247279903551i,-0.906253421883199+0.285484673635838i,-0.12689132,-0.086441396,0.988142944
7153.106252,17420.08905,0.536793840938773-0.807265034375167i,-0.873188596206151+0.429040206221271i,-0.781356890461055+0.641785940135558i,-0.122373103597892+0.935200762347042i,-0.121868664,-0.087071298,0.988719686
4709.764822,17387.57553,-0.251728197763667-0.924700454695008i,-0.722290011322054+0.65858770775467i,-0.324207430286556+0.955379541660845i,0.790817115630086+0.502116805148778i,-0.116808493,-0.087724634,0.989272543
1448.172475,18731.15118,-0.853010822913253-0.414958406934167i,-0.511949139102177+0.837326256504599i,0.229871380512713+0.981540398342955i,0.784153725918578-0.501810759914704i,-0.111722593,-0.088389784,0.989800641
973.9563054,19749.05145,-0.866217301348607+0.365482151126275i,-0.258796196701735+0.950171573124147i,0.715395546005954+0.710836846740234i,-0.123097007378189-0.917640446563608i,-0.106652916,-0.089024843,0.990302849
4929.986431,18863.83097,-0.293146820603894+0.885814702368147i,0.0168197117693682+0.987384856217123i,0.985010335446367+0.222572137399008i,-0.87957066756145-0.274549583337581i,-0.101544509,-0.089682756,0.990780357
10397.31856,20697.09223,0.470660617762728+0.798884951943664i,0.2925307881978+0.945447305696837i,0.954201975710338-0.336690211257458i,-0.61762090388909+0.678683257632821i,-0.096397057,-0.090363697,0.991232571
13162.26186,22399.22865,0.906610138690139+0.170809751919661i,0.545838146086607+0.827396806851137i,0.62883205914543-0.79586333083931i,0.353534954008584+0.843360812132429i,-0.091210249,-0.091067838,0.991658883
11190.49324,21747.19427,0.722446632665648-0.567961733397036i,0.756017281324117+0.642595132446332i,0.10596800537618-1.01143644918888i,0.911151584426363+0.034851804024228i,-0.08598121,-0.091798873,0.992058566
7918.501842,20208.65693,0.0473459009897287-0.915105645601033i,0.905870878205895+0.405947176101287i,-0.453803903153283-0.913087967262585i,0.414373825575099-0.809747620025028i,-0.080636253,-0.092658997,0.99242738
7298.375342,19677.45629,-0.657047978776151-0.636073487309256i,0.983173907269373+0.136644120027881i,-0.875282621875113-0.527874641160088i,-0.559076726610354-0.715152598704262i,-0.075251741,-0.093544449,0.992767149
8526.303251,20032.44038,-0.910057496312129+0.0771902940069437i,0.981685979383936-0.143454921545443i,-1.02399361160908+0.0258999064804034i,-0.882317356992029+0.206328856106439i,-0.069827389,-0.094455424,0.993077192
9119.702476,18972.85251,-0.539092024212045+0.736449668709014i,0.901647054343909-0.411657350749689i,-0.850161530842953+0.57447620676825i,-0.182905816069847+0.885938868961448i,-0.064362457,-0.095391831,0.993356871
6637.422724,19501.72091,0.20166803896093+0.889845924474208i,0.749720460091206-0.646325664033467i,-0.406400252075391+0.943450049995214i,0.726324912978747+0.536792466711337i,-0.05885522,-0.096352985,0.993605639
2383.665605,18358.73778,0.803863060815328+0.431613644728709i,0.538396885081568-0.82865705482899i,0.167589324627007+1.01409177652027i,0.790457059640005-0.433747354580408i,-0.053317538,-0.097303594,0.993825564
1061.443685,20261.42333,0.853156766861497-0.323842499271621i,0.284919763931345-0.944204605314206i,0.689116552057369+0.762525371733988i,-0.0626923545981203-0.897823676769011i,-0.047739806,-0.098275261,0.994013523
4511.661713,22635.06651,0.314886808032014-0.856721788259116i,0.00983206862993681-0.984017108644204i,0.991338603845161+0.268389013964342i,-0.839932908287995-0.318277353808791i,-0.042120374,-0.099272978,0.994168371
9936.382416,20380.71977,-0.440684653200879-0.799555053214666i,-0.264726296664361-0.945310733281674i,0.977503882841441-0.310365204575906i,-0.639167157414737+0.628247180880098i,-0.036458974,-0.100296925,0.994289329
12632.57399,21864.57781,-0.892850169552746-0.191280077092504i,-0.516824535217079-0.831627793546787i,0.652542331275345-0.788492803748396i,0.30237304543569+0.841377253412645i,-0.030755347,-0.101347283,0.994375601
11358.96224,22590.10992,-0.729777208630708+0.548957898860144i,-0.726500827999954-0.652481766230924i,0.121429218013926-1.01350520104489i,0.888368765760388+0.0773479539834293i,-0.025040645,-0.102431856,0.994424799
7719.115623,20699.8471,-0.0639164718672631+0.910988508978542i,-0.877335361860663-0.422529510516766i,-0.445124052297144-0.914894008270886i,0.440995709759624-0.772235837603562i,-0.019294992,-0.103545603,0.994437535
6429.289214,21065.73968,0.645847921406461+0.645657565207219i,-0.957715736791299-0.160348057291328i,-0.866190322049128-0.526374196748828i,-0.515008781648491-0.721916870280476i,-0.013506861,-0.104685883,0.994413611
7960.430266,21536.16881,0.911022538084655-0.063911783765339i,-0.961702438279899+0.113078234832922i,-1.00895659588+0.025898487978354i,-0.868905564510747+0.164480938781566i,-0.007676021,-0.105852865,0.994352176
8482.124809,20832.65024,0.549721986219628-0.729435493707794i,-0.8894362375992+0.376035561919661i,-0.830793965909902+0.564844916854977i,-0.21464896938819+0.855501377082465i,-0.00180225,-0.107046715,0.994252359
6374.874261,21110.47954,-0.189346237418627-0.893844924268443i,-0.747066258864489+0.607790561757741i,-0.391685675765976+0.919748676629178i,0.684724693863823+0.552678527570856i,0.004114665,-0.108267596,0.994113272
2429.791826,20094.24312,-0.798851603092222-0.444593286978644i,-0.546214130555185+0.790200961881768i,0.166413174640899+0.980522557945997i,0.787662076842335-0.388410169466554i,0.010074931,-0.109515671,0.993934009
978.3214964,20116.05969,-0.860901019955242+0.310371015342979i,-0.303023547977081+0.9091069218533i,0.665934010210118+0.731629508571263i,-0.0212871568670134-0.876700802530355i,0.016078743,-0.110791096,0.993713644
3938.998522,21020.42101,-0.332422169358082+0.854060788891215i,-0.0368735945193958+0.95540218761257i,0.950387476178773+0.255352673291938i,-0.803713945778616-0.349089159040118i,0.022126289,-0.112094027,0.993451235
8780.930839,21658.67066,0.425877977431458+0.813584113391363i,0.231143296069305+0.925709629778158i,0.933198582265186-0.295828667960041i,-0.654703808974073+0.582293858417649i,0.028217747,-0.113424615,0.993145818
11399.29206,19235.87349,0.895349926620712+0.214555309097054i,0.479862882891857+0.822615523288387i,0.623560739829924-0.748258168774925i,0.253148669118054+0.839485877576382i,0.034376596,-0.114798958,0.992793759
10036.77571,19173.44532,0.752705903087052-0.53535773374999i,0.689687488251317+0.654449030141808i,0.12186769576936-0.961652974856113i,0.869496193323645+0.123378117551387i,0.040609789,-0.116222511,0.992392651
6801.302837,19857.71149,0.0915738788405622-0.922710179300143i,0.84409997550643+0.434625772921088i,-0.413050364250441-0.872140904904445i,0.478331133746827-0.739059271876323i,0.046887343,-0.117675076,0.991944632
5528.088655,19264.61354,-0.638322041219539-0.678249485900467i,0.930941593451627+0.180605212614843i,-0.81407760238555-0.510831352122932i,-0.471745145581251-0.746694945133122i,0.05320938,-0.1191568,0.991448647
6628.477885,20027.26437,-0.935346954118346+0.036294808617407i,0.943358814035036-0.0874610330411438i,-0.957581784981443+0.00717852991758014i,-0.879193411892657+0.116045438472024i,0.059576012,-0.120667825,0.990903615
6991.857123,19266.49001,-0.589517167483777+0.733666207779631i,0.880347568825954-0.348290419246198i,-0.800995211519665+0.519373224078355i,-0.26345109408117+0.851204443764311i,0.065989319,-0.122221536,0.990306673
5152.427847,18060.05359,0.168526208533632+0.931515752934948i,0.746851664090484-0.581124848686434i,-0.395066540886495+0.866385475656414i,0.667191030259555+0.597769322772161i,0.07245197,-0.123838007,0.989653909
1816.88002,18194.626,0.81921046257568+0.485646606073926i,0.553403986644294-0.767356540821531i,0.13253828278558+0.941037268043908i,0.826018435588702-0.359867738865298i,0.07895891,-0.125484671,0.988948476
599.3859393,19150.4089,0.908772328335257-0.303633008459297i,0.315332472028914-0.892000945827991i,0.616999309751906+0.721043859290218i,0.0157244940751364-0.906371123564401i,0.08551018,-0.127161655,0.988189214
3322.068688,18503.11859,0.36633701177569-0.891604361367333i,0.0515855294934441-0.944902249587864i,0.907273716756148+0.275609860727064i,-0.823581278072849-0.392146549613943i,0.092105763,-0.128869098,0.987374946
7940.41082,18557.52828,-0.438722583464811-0.864583458409532i,-0.216738592477163-0.921574615017103i,0.912733951518255-0.256001352690745i,-0.701690052605812+0.591704197810611i,0.098742432,-0.130608578,0.986504603
10260.89857,18223.66234,-0.946658604975342-0.232550323969376i,-0.468049451655792-0.823607700272627i,0.631340067857051-0.707449734382066i,0.251552803441874+0.888520368203278i,0.105423381,-0.13237872,0.985576879
9443.388559,18283.37943,-0.797121556824731+0.569445129350921i,-0.681982789492711-0.658596739463906i,0.150653891434062-0.936857807099849i,0.918657888382221+0.136629880503382i,0.112148581,-0.134179625,0.984590536
7125.95111,18542.84038,-0.0869563470565941+0.980028236943918i,-0.841045196888289-0.439593507936667i,-0.378866632058149-0.87118551147005i,0.503948268586063-0.786022595856613i,0.118917985,-0.136011385,0.983544313
6168.20442,18639.92276,0.690375421354922+0.706004575141509i,-0.932052685679812-0.184112246823073i,-0.790409348954126-0.529665464109351i,-0.513482177004515-0.785140030339959i,0.125731525,-0.137874088,0.982436929
7145.442166,19016.53781,0.988059164677191-0.0660291515632806i,-0.947243485399862+0.0872388375581742i,-0.953052221555171-0.0186968569389803i,-0.930172300502765+0.148742816629936i,0.132589111,-0.139767812,0.981267082
8032.118286,18657.54177,0.592759904110485-0.795736316303232i,-0.884968281093738+0.35239761087049i,-0.813489475170917+0.500724105915788i,-0.244158136693802+0.91308857407109i,0.139438493,-0.14164892,0.980047188
5806.35952,19587.24024,-0.220639359052816-0.96856172125148i,-0.749892841130949+0.589631607730102i,-0.413902477888601+0.863341253668304i,0.736550480712773+0.596221560953103i,0.146331254,-0.143559716,0.978763389
2541.65151,18870.60318,-0.880271637172163-0.460876438561545i,-0.552686328440943+0.779321801299133i,0.120193715274688+0.952180887088379i,0.845685155455492-0.431294771220029i,0.153271631,-0.145499153,0.977413834
1093.05235,19365.33181,-0.921301320640353+0.370483349725523i,-0.309210585784599+0.905599223542425i,0.618919344909147+0.736601534318487i,-0.0506333128075022-0.948887134212584i,0.160258088,-0.147467877,0.975997219
3483.498646,19472.00444,-0.315430700688367+0.940038660425729i,-0.0392678675576509+0.957695532575336i,0.921920478957927+0.283325286743428i,-0.887884534559576-0.338999886503026i,0.167288134,-0.149466875,0.974512357
7738.25689,20112.88835,0.509414109956998+0.848083008535217i,0.23499682479583+0.930889202591433i,0.930137719896541-0.263707399854765i,-0.669760617200603+0.673504908775765i,0.174405519,-0.151535377,0.972943855
9822.672916,19589.41689,0.97292191144492+0.162391290807033i,0.490911015475861+0.826960437919865i,0.638632831714758-0.728808016783784i,0.343326910565985+0.88428760342484i,0.18157422,-0.153642571,0.971300552
8284.058656,19367.42195,0.752422994009217-0.632317066275082i,0.707158348674541+0.654107811321445i,0.139396770107667-0.96106365612644i,0.945685734230703+0.0450174653734802i,0.188785569,-0.155781078,0.969583552
5338.052272,20049.66005,0.00778704417017118-0.978755017619622i,0.865572132868854+0.426324735114769i,-0.407365754732563-0.883666161736407i,0.424007722060056-0.843863258613934i,0.19603925,-0.157950889,0.967791366
4232.175699,19523.06901,-0.735631986830391-0.638910325167518i,0.952685011483138+0.162280314568389i,-0.824637467046549-0.519751281045432i,-0.597142999271699-0.728058880698316i,0.20333492,-0.160151982,0.965922488
5331.914129,19685.7473,-0.959047246903327+0.143051059708468i,0.960899114591161-0.116207237040842i,-0.976163869471461+0.0141301990023592i,-0.904924081996012+0.248905867369456i,0.210672573,-0.162419987,0.963969302
6066.352154,20237.75002,-0.512436078350287+0.817502629289925i,0.889171580491155-0.385979640489257i,-0.811340774808894+0.545240376145282i,-0.140104226735067+0.924689998236767i,0.218051788,-0.164735312,0.961933311
4277.597329,20360.49334,0.285997393058517+0.91641401912162i,0.743150760976781-0.624478592212266i,-0.382449851887545+0.900708338793478i,0.784820116833466+0.502434526286462i,0.225473793,-0.167081331,0.959815293
1198.79438,21113.86832,0.877551868422411+0.377489256766521i,0.534745287157549-0.811651819675112i,0.171755912056055+0.964123401338458i,0.775656568037537-0.510405969855841i,0.232935456,-0.169458972,0.957614082
520.0575522,22119.13248,0.853879707656325-0.418288808177161i,0.281157342018712-0.931661056180117i,0.67101315376918+0.713986380678938i,-0.149628843806289-0.913131439789126i,0.240436258,-0.171868152,0.955328082
3604.823373,21557.87963,0.237687013405986-0.91637636861706i,0.00345853542288042-0.974243304664053i,0.952425375257657+0.231183375846691i,-0.891951492722105-0.23473430154793i,0.247975643,-0.17430877,0.952955683
8530.923322,21532.71872,-0.538328867262136-0.77424156136519i,-0.275172591856192-0.935605591805823i,0.923900270364024-0.327167559793981i,-0.576251384546213+0.716713555604594i,0.255553019,-0.176780711,0.950495258
11069.70044,21334.38979,-0.934920134336332-0.0956344020552664i,-0.531401952102397-0.818773147985425i,0.594491812740568-0.779010087273643i,0.418515504019668+0.816307809445829i,0.263167756,-0.179283844,0.947945165
9878.064021,21745.07828,-0.679654321817428+0.645227747607083i,-0.743713264502955-0.633358082061548i,0.0715808092175584-0.976941303946151i,0.914128143129696-0.0493998767896237i,0.270819183,-0.181818021,0.945303749
7711.226633,21985.45261,0.0468829338444179+0.933906465683454i,-0.894233705487771-0.394765939089182i,-0.474221808629807-0.856486884417917i,0.326750163291156-0.853638424793451i,0.278506591,-0.184383078,0.942569339
7368.059666,22276.35358,0.738228995885907+0.571527157513705i,-0.970254414993443-0.122906509038755i,-0.864907670913866-0.457179582669447i,-0.646025534783625-0.645259896621847i,0.286272006,-0.186957513,0.939731465
8481.678876,22517.95496,0.91348115729053-0.188456614480475i,-0.965314566824631+0.159481512002422i,-0.973279479480719+0.0904557287443287i,-0.851741321828166+0.327603271322872i,0.294138894,-0.189529797,0.936782134
8571.776904,22252.13591,0.45073741101012-0.816194774075059i,-0.879755428620985+0.428748793762182i,-0.764438800522584+0.60767677784258i,-0.0465961593590428+0.911304904578689i,0.302040725,-0.192132768,0.93373251
6127.409275,21833.41966,-0.327508145480966-0.87315583974832i,-0.720696728350932+0.662332350296218i,-0.307010053099749+0.925971121879897i,0.814353408471786+0.412361317309561i,0.309976586,-0.19476618,0.930580814
2703.040081,21974.14455,-0.87729705411347-0.318082101636598i,-0.501437594246409+0.840660403571812i,0.249472868877386+0.942013157057895i,0.707308752184913-0.578010571745894i,0.317945517,-0.197429767,0.927325258
1566.680858,21004.88128,-0.812057122061561+0.461801574057576i,-0.240333897243795+0.948802631214715i,0.723512439917687+0.651198321088526i,-0.24299369563529-0.881468506155234i,0.325904823,-0.200149512,0.923973062
3994.069598,20801.38917,-0.174828665083365+0.919001737604898i,0.0407513640903435+0.977725687547237i,0.960866049070496+0.148900560613215i,-0.905656112341096-0.133483902362803i,0.3337645,-0.202980079,0.920543506
7430.581338,20759.44118,0.588159513238687+0.729406266472512i,0.318291820116193+0.925048256595072i,0.884712216288763-0.4008334536705i,-0.487529633162522+0.776239980480947i,0.341651857,-0.2058396,0.917008216
8528.229292,20478.06294,0.938352614402819+0.0232047333468907i,0.569078333005148+0.795233124938176i,0.520477904420931-0.818849036689255i,0.515542968962573+0.759414392816339i,0.349565784,-0.208727735,0.913365477
6625.065399,20831.94141,0.625095617234976-0.702468269092048i,0.772168352951498+0.599202003787143i,-0.0126559947818264-0.969221374419281i,0.903599447634373-0.167865219939738i,0.357505124,-0.211644123,0.909613573
4115.843126,20991.70929,-0.133313198480223-0.932483269996388i,0.910639574859976+0.35340786764848i,-0.54071159250491-0.803404241675259i,0.208146649680051-0.896270101757845i,0.365479581,-0.214583418,0.905747555
3349.889352,21506.3096,-0.799980358480217-0.500205815738831i,0.973001015457138+0.0784452067069971i,-0.891609980618734-0.375892374390856i,-0.739142952535342-0.549455391233967i,0.373581732,-0.217503032,0.901736725
4519.71478,22107.95815,-0.899227405372877+0.289997125397323i,0.954144447463599-0.202683017373871i,-0.951170711103064+0.173632003276741i,-0.799215343438351+0.458957270804512i,0.381706557,-0.220450022,0.897608986
4773.31849,21993.05364,-0.35732642285705+0.875845769776747i,0.855758494704788-0.466494902863642i,-0.700239528241583+0.665832650499275i,0.10279246555314+0.916203412459018i,0.389852639,-0.22342392,0.893362564
2869.176655,22589.89679,0.441160611915127+0.837675641032301i,0.686173169754477-0.690993367812424i,-0.220899987046316+0.94013597493249i,0.881540887779969+0.269951492859824i,0.398018509,-0.226424231,0.888995689
620.5353784,22303.9037,0.925746705712984+0.200595903726237i,0.459650347192314-0.857500103831374i,0.330256191831462+0.90705925271652i,0.597530802966511-0.701623919477315i,0.406202634,-0.229450433,0.884506596
924.1292458,21974.76868,0.74854448810721-0.580682256515924i,0.195181630647559-0.952207538491085i,0.773144368950151+0.577435263900995i,-0.406827888321468-0.826108214186517i,0.414343055,-0.232554012,0.879908214
4614.591381,23243.86942,0.0354500321250954-0.946488428950031i,-0.0851044656895303-0.967320932290213i,0.962932545191372+0.0589855381175357i,-0.918575025536526+0.04625883390215i,0.422494194,-0.235685445,0.875186281
8880.56584,22552.14499,-0.702639037708873-0.634274919598349i,-0.357792376859389-0.901697358175208i,0.837403331548164-0.478720981037415i,-0.320525127982572+0.860506495118253i,0.430657805,-0.238841156,0.870338301
10516.83027,22333.86344,-0.936415962047983+0.131859350233253i,-0.600132232958009-0.760930302673656i,0.4374534083915-0.859594761955144i,0.662309177564719+0.63341423513774i,0.438832146,-0.242020517,0.865362593
9486.930645,22351.84464,-0.498848916217583+0.801907803779148i,-0.791933573038376-0.556874507131129i,-0.106061313790831-0.958647274604444i,0.84161721762063-0.357261467942614i,0.447015418,-0.245222872,0.860257496
7999.129798,22511.84116,0.294860191567031+0.895576774633076i,-0.917243595385984-0.306651698858778i,-0.614974094292663-0.743076088280684i,0.00417151715055366-0.91188143937848i,0.455171842,-0.248395783,0.85505446
7947.891007,22293.29768,0.874610309676508+0.347382582770324i,-0.965671695806275-0.0312203462002917i,-0.922119928181429-0.283283782222054i,-0.833741016416924-0.362763164455827i,0.46332562,-0.251576259,0.849728636
8961.019415,21496.39922,0.825618148814095-0.447436011732865i,-0.933251382454021+0.24637187073763i,-0.926266947471909+0.269931978694845i,-0.660273631513874+0.620979364347677i,0.471483558,-0.254776678,0.844270158
8331.655682,21857.58069,0.185604724872821-0.918326338205257i,-0.822768742504138+0.502908358025825i,-0.62560811809265+0.734702525981214i,0.309124224792237+0.848912373921194i,0.479643651,-0.257996278,0.838677464
5525.749832,22647.28623,-0.584264520533934-0.729474886421448i,-0.643530400084259+0.71693809765194i,-0.118681892172466+0.957846847350284i,0.898980318010098+0.0505577716330924i,0.487803837,-0.261234269,0.832949022
2595.622782,22292.95821,-0.93206531664741-0.0193471949683596i,-0.410589841962437+0.870564556291785i,0.427760621522688+0.865439878342534i,0.39953953326405-0.80347926709764i,0.496022828,-0.264537078,0.827031734
2125.63518,22147.29401,-0.610949797303292+0.701049934676913i,-0.143495427604714+0.950941005796256i,0.8335271312161+0.487462014453515i,-0.578988627586014-0.681574674887331i,0.504269577,-0.267883327,0.820945015
4543.587037,22280.00309,0.145845143940946+0.916049994464764i,0.135337214068515+0.951348056697118i,0.964431988661642-0.051752020567673i,-0.85174410660507+0.262725148465271i,0.512508423,-0.271246627,0.814714909
6945.623938,22894.05003,0.794542765389427+0.474304000757532i,0.402494541622068+0.871763191267736i,0.776792088559696-0.574291538634954i,-0.0936816431768935+0.883557908128995i,0.520736965,-0.274626032,0.80834
