Iout_exp,Iin_fit,e_delta1,e_delta2,e_delta1_delta2,e_delta1plusdelta2,N_RC2,C_RC2,S_RC2
249.2917334,7723,0,0,0,0,-0.302922785,-0.079423496,0.949699792
1527.808304,7723.889803,0.0527449550025816-2.67999672215214i,-1.3723355601931+0.0795688100600017i,-8.97864983501628-1.63423451714141i,0.140860372775523+3.68205165631656i,-0.299172383,-0.079258107,0.950901697
3895.796566,7588.747015,-1.27575160324919-2.43161145652558i,-1.42086783416511+0.587557898697985i,-9.34831155190134+1.93884519360318i,3.24138693528747+2.70542057249889i,-0.2953969,-0.079108926,0.952093719
6219.727403,8293.791433,-2.07154375566721-1.75087435241945i,-1.20749549708073+1.16024049980056i,-8.04927270091852+4.38792931917194i,4.53281509071297-0.289316065933428i,-0.291615146,-0.078971152,0.953270247
6335.728588,8726.085898,-2.31799716126804-0.881833108631978i,-0.696669830658212+1.62681853539796i,-5.61180718406861+5.30274230802993i,3.04946113605693-3.15661422449126i,-0.287839757,-0.078841269,0.954427749
4992.583846,7991.845688,-2.14214348076281+0.0304200734702237i,0.0208020597422544+1.81189891577159i,-2.89989593655525+5.03009376190812i,-0.0996790948016994-3.88071465003563i,-0.284038543,-0.078727583,0.955575258
4145.980895,8240.276595,-1.64489612134659+0.833787134145516i,0.752805982244833+1.63588055615218i,-0.744376248335402+4.05116434645669i,-2.60226380103953-2.0631736392975i,-0.28021123,-0.078630251,0.956712574
4674.105839,8293.090378,-0.885253537154444+1.37166009576354i,1.30631057318481+1.15827082033808i,0.526362979583715+2.81586847538841i,-2.74516991987915+0.766450745224541i,-0.276357542,-0.078549428,0.957839494
5010.410926,8056.740251,0.0230746527243788+1.49522581368514i,1.57667363288196+0.527742522561585i,1.02390953819921+1.71170397503549i,-0.752713046174957+2.36966059107783i,-0.272465675,-0.078488532,0.958958814
4824.359223,8464.092154,0.855415983767111+1.12107952683815i,1.56279194286812-0.101828203743435i,1.06673603051414+0.947806002008904i,1.45099472170332+1.66490857877663i,-0.268507125,-0.078456009,0.960077381
2924.813965,8790.975047,1.31802694069628+0.328984121914248i,1.32856926420853-0.623041340062903i,0.975615479483926+0.515610071986624i,1.95606079098475-0.384107078582518i,-0.264521279,-0.078440992,0.961184428
1083.283819,9126.754192,1.18962056068662-0.589531749773257i,0.958548731555882-0.983665773207495i,0.938655130154909+0.258427904183409i,0.560407075007878-1.73528393960841i,-0.260507849,-0.078443648,0.962279717
1655.985297,10086.0323,0.488025743024722-1.21518451640808i,0.530722032862488-1.17344411595217i,0.969907612396744-0.00428935591001364i,-1.16694510614795-1.21759613343666i,-0.256466548,-0.078464146,0.963363009
4299.433787,10505.69446,-0.464936104763737-1.21253185926282i,0.105972634878764-1.20742133771217i,0.957644931561484-0.36627850414194i,-1.51330734360181+0.432878577563987i,-0.252402389,-0.078498861,0.964432975
6593.031722,10291.31367,-1.16788573088686-0.551538657971997i,-0.273124045416775-1.1131709970583i,0.765401241155024-0.786669258276693i,-0.294979162406537+1.45069499297054i,-0.248374304,-0.078505067,0.965477685
7356.825388,11971.04093,-1.21493323761987+0.422495349243307i,-0.579779488691214-0.922760714661117i,0.332037899997143-1.11907244861576i,1.09425548170996+0.876138525052956i,-0.244317295,-0.078528815,0.966510364
5619.480618,12309.50818,-0.557522479019534+1.15396863193198i,-0.799634156888779-0.668242064813076i,-0.27596665173427-1.19556683678304i,1.21694439878908-0.550192761511311i,-0.240231061,-0.078570264,0.967530749
3692.992358,12738.64826,0.431211805496354+1.20178462300803i,-0.927700788331601-0.379342828762275i,-0.880817806945674-0.921277980591182i,0.0558528465580086-1.27847364826202i,-0.236115301,-0.078629573,0.968538567
4195.714714,14154.91469,1.15881241094436+0.523690945215675i,-0.965924893995832-0.0824127382633156i,-1.2667718208309-0.334299017204464i,-1.07616695040356-0.601347024663467i,-0.23196971,-0.078706903,0.969533536
5147.022684,12793.9024,1.1739306301483-0.474060911522182i,-0.921355441008748+0.199974078965012i,-1.27457595064903+0.395626323957944i,-0.986807479299+0.671534296733251i,-0.22776254,-0.078786145,0.970524069
4806.447716,12674.43916,0.459098427284823-1.17331812753558i,-0.804811497714975+0.449116323329575i,-0.873997838152128+1.02770140458278i,0.157468630673031+1.15048851722659i,-0.223522083,-0.07888273,0.971501618
2674.143971,13274.65481,-0.541090639120493-1.13053572284539i,-0.62990492382977+0.650186692314829i,-0.183313317391201+1.34252926997338i,1.07589494000079+0.360320085493486i,-0.219250492,-0.078998119,0.972465176
535.9292281,13384.44319,-1.19054976279185-0.368356961772226i,-0.412282712676489+0.79224259697218i,0.571331271132957+1.22699414077873i,0.782671161787385-0.791337028466105i,-0.214947453,-0.079132481,0.973414425
1287.323108,13405.12427,-1.0692373531799+0.624994266709811i,-0.168968530015306+0.868283662720449i,1.13860327041761+0.717387003132522i,-0.362004847273812-1.03400568785051i,-0.210612646,-0.079285983,0.974349037
5072.398542,14364.74115,-0.254539149937371+1.20342219297284i,0.0822929066892039+0.875343810935538i,1.33278283762616-0.0146600405103043i,-1.0743549350758-0.12377615930444i,-0.206259606,-0.079499721,0.975262411
9208.554663,12993.29144,0.718208634744362+0.987112598498295i,0.323754034480983+0.814571138132066i,1.09773041287664-0.725482746079299i,-0.571550489725691+0.904613711270822i,-0.201878716,-0.079744633,0.976158685
10177.58814,13996.86353,1.20434917338814+0.121646894905147i,0.538474724783357+0.691228494752545i,0.521814846741784-1.1857526070751i,0.564425789626635+0.897984244532352i,-0.197465781,-0.080009199,0.9770393
8591.67697,14670.3539,0.882493118098388-0.811907909221569i,0.711216262294367+0.514541940683934i,-0.198368727241242-1.25722358796774i,1.04540412822194-0.123362386897238i,-0.193020488,-0.080293593,0.977903896
6376.521805,14148.04278,-0.0240651056781101-1.18651024474673i,0.829374907948545+0.297332886609901i,-0.828867312123461-0.933579724802873i,0.332829521256211-0.991217172354671i,-0.188542523,-0.08059799,0.978752104
6250.254659,15017.519,-0.896790945638792-0.75651322893298i,0.883881655676942+0.0553912122226582i,-1.17658381368891-0.334403686323531i,-0.75075288101423-0.718342502920028i,-0.183998759,-0.080935505,0.979588639
