,out_N,out_C,out_S,I_predict,out_N_simple,out_C_simple,out_S_simple
312,-0.17060849,-0.56531745,-0.81203425,2.8208086,-0.20795609,-0.64205784,-0.7553961
313,-0.17063563,-0.5647185,-0.81240875,2.726802,-0.20813908,-0.640385,-0.75501823
314,-0.170654,-0.56412494,-0.8127788,2.3109758,-0.2082772,-0.6385909,-0.7545475
315,-0.17066345,-0.56353664,-0.81314427,2.2833633,-0.20836896,-0.63667417,-0.7539808
316,-0.17066407,-0.5629539,-0.8135055,2.392007,-0.20841287,-0.63463306,-0.7533148
317,-0.17065568,-0.5623767,-0.81386226,1.9070956,-0.20840739,-0.63246644,-0.7525468
318,-0.17063834,-0.56180483,-0.81421477,0.89942205,-0.20835105,-0.6301723,-0.7516732
319,-0.17061195,-0.56123835,-0.81456316,0.39552864,-0.20824236,-0.62774986,-0.7506913
320,-0.17057654,-0.5606775,-0.81490725,1.0849758,-0.20807973,-0.62519765,-0.7495978
321,-0.17053214,-0.5601225,-0.81524724,2.3522785,-0.20786172,-0.6225145,-0.7483893
322,-0.17047866,-0.5595729,-0.8155831,3.012605,-0.20758678,-0.61969954,-0.7470632
323,-0.17041613,-0.55902886,-0.8159151,2.7705097,-0.20725341,-0.6167515,-0.74561626
324,-0.17034459,-0.5584907,-0.8162431,2.4174998,-0.20686007,-0.6136693,-0.74404526
325,-0.17026411,-0.5579581,-0.8165671,2.5611315,-0.20640527,-0.6104522,-0.7423474
326,-0.1701746,-0.5574314,-0.81688756,2.7318108,-0.2058875,-0.6070991,-0.74051964
327,-0.17007613,-0.5569104,-0.81720394,2.14314,-0.20530528,-0.60360944,-0.7385587
328,-0.1699688,-0.55639523,-0.8175169,0.9997893,-0.20465703,-0.5999823,-0.7364619
329,-0.16985261,-0.55588585,-0.817826,0.43623355,-0.20394132,-0.59621686,-0.73422617
330,-0.16972767,-0.5553824,-0.8181317,1.0918547,-0.20315662,-0.5923125,-0.7318485
331,-0.1695939,-0.5548848,-0.8184338,2.2686033,-0.20230143,-0.58826864,-0.729326
